Anmerkungen,Ort Motiv,Koordinaten Motiv,Jahr Motiv,Titel,Untertitel,Ort Verlag,Verlag,Nummer,Schlagwörter,Mitarbeiter/Fotograf,Absendeort,Absendeort Koordinaten,Empfangsort,Empfangsort Koordinaten,Anzahl Menschen,Jahr Motiv bereinigt,Land
,Bezirk Mitte,"52.516666666667,13.366666666667",1974,"Berlin, Hauptstadt der DDR // Karl-Marx-Allee // Аллее им. Карл Маркса // Karl Marx Avanue // Allèe Karl Marx",,Erlbach i.V.,VEB Foto-Verlag Erlbach i.V,III/18/97 K 1/74 Nr. 07 15 00 142,"1970er; 1974; Bautyp - Plattenbauten; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; gelaufen 1977; nach: Dorndorf; Nachricht - Dampferfahrt; Nachricht - Ort - Stienitzsee; Nachricht - Ort - Woltersdorf; Nachricht - Urlaubsgrüße - aus Berlin; Name - Fritz; Name - Helga; Name - Konrad; Ort - Berlin - Haus der Statistik; Ort - Berlin - Haus des Lehrers; Ort - Berlin - Karl-Marx-Allee - Bauabschnitt II; Per - Konrad Geißler; Stadtdetail - Laternen; Stempel - Tagesstempel - Berlin; Stempel - Werbestempel - Tierpark Berlin; Verkehr - Stadtverkehr; von: Berlin",,Berlin,"52.516666666667,13.383333333333",Dorndorf,"51.2342,11.6803",7,1974,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1975,Berlin,,Berlin,VEB  POSTKARTEN-VERLAG BERLIN C 2,A 25/75 IV-14-48,1970er; 1975; Bautyp - Altbauten; Brachen; Fotografie - Luftbild; gelaufen 1976; nach: Erfurt; Nachricht - Ankunft; Nachricht - Befinden - gut; Nachricht - Essen; Nachricht - Philokartie; Name - Herbert; Name - Martin; Ort - Berlin; Ort - Berlin - Ahornblatt; Ort - Berlin - Breite Straße; Ort - Berlin - Fischerinsel; Ort - Berlin - Leipziger Straße; Ort - Berlin - Mauerstreifen; Ort - Berlin - Mühlendammschleuse; Ort - Berlin - Nikolaikirche; Ort - Berlin - Rathausstraße; Ort - Berlin - Rotes Rathaus; Ort - Berlin - Spandauer Straße; Ort - Berlin - Spree; Ort - Berlin-Mitte; Parkanlagen; Stempel - Tagesstempel - Jena 69 am; Verkehr; von: Jena,,Jena,"50.927222222222,11.586388888889",Erfurt,"50.97805555555556,11.028888888888888",7,1975,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1975,"Berlin, Hauptstadt der DDR // Interhotel ""Stadt Berlin""",,Erlbach i.V.,VEB Foto-Verlag Erlbach i.V,III 23 4 K 1/75 Nr. 07 15 00 132,"1970er; 1975; Architekt - Hans-Erich Bogatzky; Architekt - Heinz Scharlipp; Architekt - Roland Korn; Architektur - Stil - Ostmoderne; Brunnen - Springbrunnen; Brunnen der Völkerfreundschaft - Berlin; Hotel - Ort - Berlin - Hotel ""Stadt Berlin""; Hotel - Ort - Berlin - Interhotel ""Stadt Berlin""; Kunst am Bau - floral; Kunst am Bau - Keramik; Künstler - Walter Womacka; Ort - Berlin; Ort - Berlin - Alexanderplatz; Ort - Berlin - Brunnen der Völkerfreundschaft; Ort - Berlin-Mitte",,o.A.,,o.A.,,7,1975,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1976,Berlin - Hauptstadt der DDR // Palast der Republik,,Berlin,Planet-Verlag,III/26/13 A4/41/76 280429 06 15 00 019,"1970er; 1976; Architekt - Erhardt Gißke; Architekt - Heinz Graffunder; Architekt - Karl-Ernst Swora; Architektur - Stil - Ostmoderne; Baudetail - Treppe; Baumaterial - Marmor; Briefmarke - 1976 - Staatliche Museen zu Berlin: Bronzeplastiken - Tanzpause, von Walter Arnold; DDR - Ungarn; Detail - Schatten; Himmel - blau; Jahreszeit - Sommer; Kleidung - Anzug - stahlblau; Kleidung - Bluse - weiß; Kleidung - Kleid; Kleidung - Kleid - hellblau; Kleidung - Rock - Rot; Kleidung - Rock - schwarz; Menschen; Menschen - Kind; Menschen - Paare; nach: Budapest; Ort - Berlin; Ort - Berlin - Palast der Republik; Ort - Berlin-Mitte; Spiegelung; Sprache - Ungarisch; Stadtdetail - Laternen; Verkehr - Zufahrt; Wappen - DDR",,o.A.,,Budapest,"47.498333333333,19.040833333333",7,1976,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1976,Berlin - Hauptstadt der DDR. An der Rathausstraße,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/26/13 A 1/21/76-280557 01 15 0115,1970er; 1976; Architektur; Architektur - Stil - Ostmoderne; Fotografie - Panorama; Ort - Berlin - Alexanderhaus; Ort - Berlin - Alextreff; Ort - Berlin-Mitte; Rathauspassagen - Berlin; Stadtdetail - Grünanlagen; Straße - Alexanderplatz - Berlin,Hoffmann (Oelsnitz (Erzgb.)),o.A.,,o.A.,,7,1976,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1976,"Berlin, Hauptstadt der DDR",Rathausstraße Ратхаусштрассе,Erlbach i.V.,VEB  Foto-Verlag Erlbach i.V,III/18/197 K 1/76 Nr. 07 15 00 103,1970er; 1976; Archigrafie; Archigrafie - Books; Archigrafie - Esda; Archigrafie - ib; Architektur - Stil - Ostmoderne; Detail - Laterne; Einzelhandel - Art - Buchhandlung; Einzelhandel - Ort - Berlin - Internationales Buch; Kennzeichen - IP 74 20; Legende - Russisch; Menschen - Passanten; Natur - Bäume - jung; Ort - Berlin; Ort - Berlin - Gastmahl des Meeres; Ort - Berlin - Neptunbrunnen; Ort - Berlin - Rathauspassagen; Ort - Berlin - Rathausstraße; Ort - Berlin - Rotes Rathaus; Ort - Berlin - Spandauer Straße; Straße - Rathausstraße - Berlin; Straße - Spandauer Straße - Berlin; Tätigkeit - Abbiegen; Tätigkeit - Autofahren; Tätigkeit - Straßenquerung; ungelaufen; Verkehr - Ampeln; Verkehr - Auto - Trabant; Verkehr - Auto - Wartburg; Verkehr - Motorrad; Verkehr - Stadtverkehr; Verkehrszeichen - Vorfahrt beachten,,o.A.,,o.A.,,7,1976,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1976,"Berlin, Hauptstadt der DDR",Blick zum Alexanderplatz // Вид на площадь Александерплац // Vue sùr l'Alexanderplatz,Erlbach i.V.,VEB Foto-Verlag Erlbach i.V,III/18/197 K 1/76 Nr. 07 15 00 173,"1970er; 1976; Archigrafie; Archigrafie - HOTEL STADT BERLIN; Archigrafie - Spee Ein Begriff für Sauberkeit; Architektur - Stil - Ostmoderne; Briefmarke - 1977 - Persönlichkeiten der deutschen Arbeiterbewegung (VI) - Ernst Meyer (1887–1930), KPD-Vorsitzender; Detail - Werbung; Gastronomie - Art - Imbiss; gelaufen 1970er; gelaufen 1977; Hotel; Hotel - Ort - Berlin - Hotel ""Stadt Berlin""; Jahreszeit - Sommer; Legende - Französisch; Legende - Russisch; Menschen - Jugendliche; nach: Magdeburg; Nachricht - An den Vater; Nachricht - Ankunft; Nachricht - Verpflegung; Nachricht - Verpflegung - Kaltverpflegungsbeutel; Nachricht - Verpflegung - prima; Nachricht - Zustand - müde; Name - Grit; Name - Ingo; Name - Uwe; Natur - Bäume; Natur - Stadtnatur - Grünanlage; Ort - Berlin; Ort - Berlin - Alexanderplatz; Ort - Berlin - Bahnhof Alexanderplatz; Ort - Berlin - Haus Berlin; Ort - Berlin - Hotel ""Stadt Berlin""; Ort - Berlin-Mitte; Per - Kurt Leue; Schrift - Bier Limonade Cola; Schrift - gebratenes gekochtes; Stempel - Tagesstempel - Berlin 10; Stempel - Werbestempel - 25 Im Dienst für Leben und Gesundheit; Tätigkeit - Sitzen; Verkehr - Bahnhof; Verkehr - Bahnhof - Ort - Berlin - Bahnhof Berlin-Alexanderplatz; Verkehr - S-Bahn; von: Berlin",,Berlin,"52.516666666667,13.383333333333",Magdeburg,"52.1315889,11.6399609",7,1976,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",ohne Jahr [gelaufen 1976],"[Berlin, Weihnachtsmarkt am Alexanderplatz]",,o.A.,o.A.,o.A.,1970er; Briefmarke - 1974 - Persönlichkeiten der deutschen Arbeiterbewegung (II) - Wilhelm Florin; Detail - Karussell; Detail - Karussell - Riesenrad; Detail - Weihnachtsbaum; Fotografie - Nachtaufnahme; Fotografie - Panorama; gelaufen 1970er; gelaufen 1976; Hotel; nach: Leipzig; Nachricht - Anrede - Familie Sportleher; Nachricht - Dank - für Weihnachtskarte; Nachricht - Neue Adresse; Nachricht - Wegbeschreibung; Nachricht - Weihnachtsgruß; Name - Fred; Name - Fritzi; Name - Helga; Name - Sigfried; Ort - Berlin; Ort - Berlin - Alexanderhaus; Ort - Berlin - Alexanderplatz; Ort - Berlin - Haus der Elektroindustrie; Ort - Berlin - Haus des Berliner Verlages; Ort - Berlin - Hotel Stadt Berlin; Ort - Berlin - Weihnachtsmarkt; Ort - Berlin-Mitte; Per - Sigfried Gerisch; Philokartie - Privatdruck; Sammlung - || extrem seltene Karte!||; Stempel - Tagesstempel - BERLIN 10 ng; von: Berlin,,Berlin,"52.516666666667,13.383333333333",Leipzig,"51.3406321,12.3747329",7,1976,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,Berlin - Hauptstadt der DDR // Alexanderplatz,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/26/13 A1/259/77-280359 01 15 0086,1970er; 1977; Archigrafie; Archigrafie - ALEXGRILL CAFETERIA; Architektur - Stil - Ostmoderne; Brunnen; Brunnen - Brunnen der Völkerfreundschaft - Berlin; Brunnen - Springbrunnen; Fotografie - Nachtaufnahme; Fotografie - Reflexion; Künstler - Hans Joachim Kunsch; Künstler - Hans Joachim Kunsch - Brunnen der Völkerfreundschaft - Berlin; Künstler - Walter Womacka; Künstler - Walter Womacka - Brunnen der Völkerfreundschaft - Berlin; Nachtleben; Ort - Berlin; Ort - Berlin - Alexanderhaus; Ort - Berlin - Alexgrill; Ort - Berlin - Brunnen der Völkerfreundschaft; Ort - Berlin - Haus der Statistik; Ort - Berlin - Haus des Lehrers; Ort - Berlin - Haus des Reisens; Ort - Berlin-Mitte; Sammlung - Thomas Neumann; Stadtdetail - Laternen; Tätigkeit - Sitzen; Wasser,Schlegel (Lunzenau),o.A.,,o.A.,,7,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,Berlin - Hauptstadt der DDR // Blick aus dem Palast der Republik // zur Rathausstraße //  Берлин - Столица ГДР // Вид из дворца Республики на // улицу Ратхаузштрассе // Berlin - Cappital of the GDR // View from the Palace of the Republic // onto Rathausstrasse // Berlin - Capitale de la  R.D.A. // Rathausstrasse vue du Palais de la République,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 615/77 01 15 00 543,1970er; 1977; Architekt - Christian Schulz; Architekt - Heinz Aust; Architekt - Heinz Graffunder; Architekt - Karl-Ernst Swora; Architekt - Lothar Köhler; Architekt - Manfred Prasser; Architekt - Walter Wenzel; Architekt - Wolf-Rüdiger Eisentraut; Architektur - Stil - Ostmoderne; Briefmarke - entfernt; Fotografie - Panorama; gelaufen; Menschen - Passanten; Möbel - Lampen - Stableuchten PdR; nach: Haselbach; Name - Gerhard; Name - Gretel; Name - Herbert; Natur - Stadtnatur - Grünanlage; Ort - Berlin; Ort - Berlin - Fernsehturm; Ort - Berlin - Palast der Republik; Ort - Berlin - Rathausstraße; Ort - Berlin - Rotes Rathaus; Ort - Berlin-Mitte; Per - Herbert Schmahl; Skulptur; Stempel - Sonderstempel - Tierpark Berlin; Straße - Rathausstraße - Berlin; von: Berlin,Karpf (Oelsnitz (Erzgeb.)),Berlin,"52.516666666667,13.383333333333",Haselbach,"48.248888888889,15.804722222222",7,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,Berlin - Hauptstadt der DDR // Palast der Republik // Blick aus dem 4. Geschoß auf den Fernsehturm und das Rote Rathaus,,Erlbach i.V.,VEB Foto-Verlag Erlbach i.V,K 1/77 III/23/32 07 15 00 015,1970er; 1977; Architekt - Erhardt Gißke; Architekt - Heinz Graffunder; Architekt - Karl-Ernst Swora; Architektur; Architektur - Stil - Ostmoderne; Fotografie - Innenaufnahme; Innenarchitektur; Möbel; Möbel - Aschenbecher; Möbel - Lampen; Möbel - Teppich; Ort - Berlin - Alexanderplatz; Ort - Berlin - Fernsehturm; Ort - Berlin - Marx-Engels-Platz; Ort - Berlin - Palast der Republik; Ort - Berlin - Rathausstraße; Ort - Berlin - Rotes Rathaus; Ort - Berlin - Spandauer Straße,,o.A.,,o.A.,,7,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,Berlin – Hauptstadt der DDR // Palast der Republik // Haupttreppe,Берлин - столица ГДР // Дворец Республики // Парадная лестница // Berlin - Capital of the GDR // Palace of the Republic // Grand staircase,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 164/77 164/77 01 15 00 531,1970er; 1977; Architekt - Erhardt Gißke; Architekt - Heinz Graffunder; Architekt - Karl-Ernst Swora; Architektur; Architektur - Stil - Ostmoderne; Baudetail - Balustrade; Baudetail - Treppe; Fotografie - Innenaufnahme; Innenarchitektur; Kleidung - Hose; Kleidung - Rock; Legende - Englisch; Legende - Russisch; Menschen - viele; Ort - Berlin; Ort - Berlin - Palast der Republik; Ort - Berlin-Mitte; Philokartie - Eindruck - Logo BILD UND HEIMAT; Tätigkeit - Schauen; Tätigkeit - Staunen; Tätigkeit - Treppensteigen,Mohr (Berlin),o.A.,,o.A.,,7,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,Berlin - Hauptstadt der DDR Urania-Säule mit Weltzeituhr // Колонна Урании с часами всемирного времени // Urania column with World Time Clock // Colonne Urania avec horloge indiquant le temps universel,,Erlbach i.V.,VEB Foto-Verlag Erlbach i.V,III 23 4 K 1/77 07 15 00 027,"1970er; 1977; Archigrafie; Archigrafie - HOTEL STADT BERLIN; Archigrafie - U; Architektur - Stil - Ostmoderne; Detail - Fahnen; Hotel; Jahreszeit - Sommer; Kleidung - Bluse - gemustert; Künstler - Erich John; Künstler - Erich John - Weltzeituhr, Alexanderplatz, Berlin; Menschen - Passanten; Nachricht - Grüße - aus Berlin; Nachricht - von der Mutter; Name - Hans-Dieter; Ort - Berlin; Ort - Berlin - Alexanderplatz; Ort - Berlin - CENTRUM-Warenhaus; Ort - Berlin - Hotel Stadt Berlin; Ort - Berlin - Weltzeituhr; Ort - Berlin-Mitte; Per - Hans-Dieter Holtz; Straße - Alexanderplatz - Berlin; Strukturfassade; Tätigkeit - Blick zur Kamera; Tier - Taube; Uhr - Art - Weltzeituhr; Uhrzeit - 10:00; ungelaufen; Zahl - 10; Zahl - 11; Zahl - 12; Zahl - 13; Zahl - 14; Zahl - 15; Zahl - 8; Zahl - 9",-,o.A.,,o.A.,,7,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,Berlin - Hauptstadt der DDR. Alexanderplatz,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/26/13 A1/73/77-280073 01 05 0088,1970er; 1977; Hotel; Ort - Berlin - Alexanderplatz; Ort - Berlin - Weltzeituhr; Ort - Berlin-Mitte; Straße - Alexanderplatz - Berlin; Uhr - Art - Weltzeituhr,R. Schlegel (Lunzenau),o.A.,,o.A.,,7,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,Berlin // Hauptstadt der DDR // Rathausstraße,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/197 A 1/B 21/77 01 15 00 538,"1970er; 1977; Archigrafie - CENTRUM; Archigrafie - HOTEL STADT BERLIN; Architektur - Stil - Ostmoderne; Baudetail - Fassade; Einzelhandel; Menschen - Passanten; Ort - Berlin; Ort - Berlin - Alexanderplatz; Ort - Berlin - Bahnhof Alexanderplatz; Ort - Berlin - CENTRUM-Warenhaus; Ort - Berlin - Fernsehturm - Fußumbauung; Ort - Berlin - Haus des Reisens; Ort - Berlin - Hotel ""Stadt Berlin""; Ort - Berlin - Rathausstraße; Ort - Berlin-Mitte; Stadtdetail - Grünanlagen; Stadtdetail - Laternen - Kugellampen; Straße - Rathausstraße - Berlin; ungelaufen","Mohr, [Berlin]",o.A.,,o.A.,,7,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,"Berlin, Hauptstadt der DDR // Neptunbrunnen, Blick zum Palast // der Republik",,Erlbach i.V.,VEB  Foto-Verlag Erlbach i.V,III/18/197 K 1/77 Nr. 07 15 00 023,"1970er; 1979; Architekt - Erhardt Gißke; Architekt - Heinz Graffunder; Architekt - Karl-Ernst Swora; Architektur - Stil - Ostmoderne; Briefmarke - 1979 - Rehabilitation von Behinderten - Unterricht im Krankenhaus, 10 Pf. (Ersttag 26.06.1979); Brunnen - Springbrunnen; gelaufen - 1979 - 07 - 27; gelaufen 1979; Künstler - Reinhold Begas; Künstler - Reinhold Begas - Neptunbrunnen, Berlin; nach: Erfurt; Nachricht - Achterbahn; Nachricht - Grüße - aus Berlin; Nachricht - Palasthotel Berlin; Nachricht - Plänterwald; Name - Achim; Name - Dieter; Name - Gisela; Ort - Berlin; Ort - Berlin - Neptunbrunnen; Ort - Berlin - Palast der Republik; Ort - Berlin-Mitte; Per - Dieter Donath; Stempel - Tagesstempel - BERLIN-FRIEDRICHSFELDE 1136; von: Berlin-Friedrichsfelde; Wasser",,Berlin-Friedrichsfelde,"52.5058,13.5192",Erfurt,"50.97805555555556,11.028888888888888",7,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,"Hotel ""Metropol"", DDR - 108 Berlin",Appartement,Berlin,Planet-Verlag,A 4/5/77 17,1970er; 1977; Detail - Blumen; Detail - Spiegel; Detail - Spiegelung; Detail - Steckdosen; Detail - Zimmerpflanze; Fotografie - Innenaufnahme; Hotel; Hotel - Ort - Berlin - Hotel Metropol; Kleidung - Accessoire - Handtasche; Kleidung - Hausmantel; Kleidung - Nachthemd; Menschen - 1; Menschen - Frau - 1; Möbel - Bett; Möbel - Bett - Rundbett; Möbel - Hocker; Möbel - Lampe - Stehlampe; Möbel - Schminktisch; Möbel - Spiegel; Möbel - Spiegel - rund; Möbel - Stehlampe; Möbel - Tagesdecke; Möbel - Tapete; Möbel - Tapete - gemustert; Möbel - Teppich; Möbel - Vase mit Blumen; Möbel - Vorhänge; Möbel - Vorhänge - creme-farben; Ort - Berlin; Ort - Berlin - Hotel Metropol; Ort - Berlin-Mitte; Tätigkeit - am Schminktisch sitzen; Tätigkeit - Sich im Spiegel betrachten; ungelaufen,Archiv VIH/Brünn,o.A.,,o.A.,,1,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1977,"""Wartburg""-Tourist // das ideale Mehrzweckfahrzeug aus dem // Eisenacher Automobilwerk",,Magdeburg,Volksstimme  Magdeburg,N 1/// IV-14-483 A 4103,"1970er; 1977; Architektur - Stil - Ostmoderne; Briefmarke - 1968 - Olympische Sommerspiele 1968, Mexiko-Stadt - Stabhochsprung; gelaufen - 1987 - 09 - 09; gelaufen 1980er; gelaufen 1987; Kennzeichen - LF 07-72; Menschen - Frauen; nach: Wernshausen; Nachricht - Einladung; Nachricht - Treffen; Nachricht - Wanderschuhe; Name - Manfred; Ort - Berlin; Ort - Berlin - Fernsehturm; Ort - Berlin - Haus der Elektroindustrie; Ort - Berlin - Haus des Reisens; Ort - Berlin - Hotel ""Stadt Berlin""; Ort - Berlin-Mitte; Per - Manfred Finger; Stempel - Tagesstempel - EISENACH; Stempel - Werbestempel - Acht Jahrzehnte Wartburg Automobile aus Eisenach; Verkehr - Auto - Wartburg; Verkehr - Auto - Wartburg - Kombi; Verkehr - Stadtverkehr; von: Eisenach",,Eisenach,"50.974722222222,10.324444444444",Wernshausen,"50.716666666667,10.35",1,1977,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1978,Berlin - Hauptstadt der DDR // Alexanderplatz,Берлин - Столица ГДР // Александерлатц,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/26/13 A1/349/78-280349 01 15 0137,"1970er; 1978; Architektur - Stil - Ostmoderne; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; Himmel - blau; Kennzeichen - IZ 61 50; Kennzeichen - R 9 B 8626; Legende - Russisch; Nachricht - An die  Geschwister; Nachricht - An die Mutter; Nachricht - Asbest; Nachricht - Besuchsplanung; Nachricht - Garten; Nachricht - Gesundheit; Name - Reinhard; Natur - Bäume - jung; Ort - Berlin; Ort - Berlin - Alexanderplatz; Ort - Berlin - Haus der Elektroindustrie; Ort - Berlin - Haus des Lehrers; Ort - Berlin - Hotel Stadt Berlin; Ort - Berlin - Kongresshalle; Ort - Berlin-Mitte; Stadtdetail - Laternen; Straße - Alexanderplatz - Berlin; ungelaufen - beschrieben; ungelaufen - frankiert; Verkehr - Auto - Dacia; Verkehr - Auto - Dacia - Weiß; Verkehr - Auto - Lada; Verkehr - Auto - Lada - blau; Verkehr - Auto - Skoda; Verkehr - Auto - Skoda - gelb; Verkehr - Auto - Trabant; Verkehr - Auto - Trabant - blau; Verkehr - Parkplatz; Wegweiser","Mohr, [Berlin]",o.A.,,o.A.,,1,1978,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1978,Berlin - Hauptstadt der DDR // Centrum-Warenhaus am Alexanderplatz,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/26/13 A1/324/78 280324 01 15 0136,"1970er; 1978; Archigrafie - CENTRUM, Kind; Archigrafie - U; Architekt - Günter Kunert; Architekt - Josef Kaiser; Baudetail - Treppe; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; Einzelhandel - Ort - Berlin - CENTRUM Warenhaus am Alexanderplatz; Gastronomie - Ort - Berlin - Zillestube Berlin; gelaufen - 1978 - 09 - 04; gelaufen 1978; Himmel - blau; Jahreszeit - Sommer; Kleidung - Bluse - hellgelb; Kleidung - Hose - Schlaghosen - orange; Kleidung - Rock - hellblau; Menschen - Passanten; nach: Erfurt; Nachricht - Autofahrt; Nachricht - Einkaufsbummel; Nachricht - Grüße - aus Berlin; Nachricht - Ort - Berlin; Nachricht - Ort - Berlin - Palast der Republik; Name - Achim; Name - Gisela; Natur - Blumen; Ort - Berlin; Ort - Berlin - Alexanderplatz; Ort - Berlin - Brunnen der Völkerfreundschaft; Ort - Berlin - CENTRUM-Warenhaus; Ort - Berlin - U-Bahnhof Alexanderplatz; Ort - Berlin - Zillestube; Ort - Berlin-Mitte; Per - H.-Dieter Donath; Stadtdetail - Grünanlagen; Stempel - Sonderstempel - Berlin Hauptstadt der DDR grüßt seine Gäste; Stempel - Tagesstempel - Berlin 10; Straße - Alexanderplatz - Berlin; Strukturfassade; von: Berlin",Mohr (Berlin),Berlin,"52.516666666667,13.383333333333",Erfurt,"50.97805555555556,11.028888888888888",1,1978,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1978,Berlin // Hauptstadt der DDR // Berlinpanorama an der Mühlendammschleuse,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/197 A 1/B 665/78 01 15 00 602,1970er; 1978; Brücke; Fluss - Spree; Fotografie - Panorama; Kindergarten; Menschen - Passanten; Ort - Berlin; Ort - Berlin - Mühlendammschleuse; Ort - Berlin-Mitte; Schiff - Schubschiff; Schleuse; Stadtgestaltung - Grünanlage; Stadtgestaltung - Neubaugebiet; Stadtnatur - Bäume; ungelaufen,"Hoffmann, [Oelsnitz (Erzgeb.)]",o.A.,,o.A.,,1,1978,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1979,1 Brecht-Haus Berlin // Chausseestraße 125. Vorderhaus // Nach der Rekonstruktion (1978),,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),A 1/B 909/78 IV-14-483 Z SO 524/K1,1970er; 1979; Bautyp - Altbau; Bautyp - Altbauten - saniert; Detail - Zaun; Natur - Bäume; Ort - Berlin; Ort - Berlin - Brecht-Haus; Ort - Berlin - Chausseestraße; Ort - Berlin-Mitte; Sammlung - Thomas Neumann; Stadtdetail - Oberleitung; Straße - Chausseestraße - Berlin; Straßenbahnschienen,"Steinfeldt, Maria",o.A.,,o.A.,,1,1979,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1979,"Berlin - Hauptstadt der DDR // Hotel ""Stadt Berlin"" // ausgerüstet mit Klima- und Kälteanlagen vom // VEB Kombinat Luft- und Kältetechnik",,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/197 A 1/B 890/79 01 15 01 663,"1970er; 1979; Archigrafie; Archigrafie - C CENTRUM; Archigrafie - HOTEL STADT BERLIN; Architekt - Günter Kuhnert; Architekt - Hans-Erich Bogatzky; Architekt - Heinz Scharlipp; Architekt - Josef Kaiser; Architekt - Roland Korn; Architektur - Stil - Ostmoderne; Fotografie - Nachtaufnahme; Hotel - Ort - Berlin - Hotel ""Stadt Berlin""; Ins - VEB Kombinat Luft- und Kältetechnik; Ort - Berlin; Ort - Berlin - Alexanderplatz; Ort - Berlin - CENTRUM-Warenhaus; Ort - Berlin - Hotel ""Stadt Berlin""; Ort - Berlin-Mitte; Straße - Alexanderplatz - Berlin; Strukturfassade; ungelaufen","Hoffmann, [Oelsnitz (Erzgeb.)]",o.A.,,o.A.,,1,1979,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1979,"Berlin - Hauptstadt der DDR // Palast der Republik // Foyer am Großen Saal, 2. Geschoß",,o.A.,o.A.,A 31/79 IV-14-483 HS 2735,1970er; 1979; Architekt - Erhardt Gißke; Architekt - Heinz Graffunder; Architekt - Karl-Ernst Swora; Architektur - Stil - Ostmoderne; Fotografie - Innenaufnahme; Innenarchitektur; Kleidung - Kleid; Möbel - Lampen; Ort - Berlin; Ort - Berlin - Palast der Republik; Ort - Berlin-Mitte; Raumtyp - Foyer; Spiegelung; Tätigkeit - Sitzen; ungelaufen,,o.A.,,o.A.,,1,1979,Germany
,Bezirk Mitte,"52.516666666667,13.366666666667",1980,Berlin - Hauptstadt der DDR Marienkirche,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/26/13 A1/208/81 280208 01 15 0345,1980; 1980er; Kirche; Ort - Berlin; Ort - Berlin - Marienkirche; Ort - Berlin-Mitte; Ortsansicht; Wohnungsbau,Mohr (Berlin),o.A.,,o.A.,,1,1980,Germany
