Anmerkungen,Ort Motiv,Koordinaten Motiv,Jahr Motiv,Titel,Untertitel,Ort Verlag,Verlag,Nummer,Schlagwörter,Mitarbeiter/Fotograf,Absendeort,Absendeort Koordinaten,Empfangsort,Empfangsort Koordinaten,Anzahl Menschen,Jahr Motiv bereinigt,Land
,Aken  (Elbe),"51.85,12.05",1960,Aken an der Elbe - Otto-Dießner-Straße,,Köthen/Anhalt,Heldge-Verlag  KG Köthen/Anhalt,IV-14-45 F 1-60 G 3377,"1960; 1960er; Bezirk Halle; Briefmarke - 1961 - Dauermarkenserie: Staatsratsvorsitzender Walter Ulbricht, 10 Pf. (grün) (Ersttag 29.08.1961); Detail - Zaun - Lattenzaun; Fotografie - Perspektive; Kreis Köthen; Menschen - 7; Ort - Aken; Ort - Aken - Otto-Dießner-Weg; Philokartie - Eindruck - Logo Heldge Verlag; Schild - Kinderkrippe; Stadtdetail - Laternen; Stadtgestaltung - Strommasten; Stadtnatur - Bäume - Birken; Straße - Otto-Dießner-Straße - Aken; Tätigkeit - Radfahren; ungelaufen - frankiert; Verkehrszeichen - Fahrradweg",,o.A.,,o.A.,,7,1960,Germany
,Alsleben,"51.701,11.68",1977,ALSLEBEN (SAALE) /// Kulturhaus ALSLEBEN (Kr. Bernburg),,Berlin,Planet-Verlag,A 4/77 IV-14-483 06 08 03 382 M,1970er; 1977; Archigrafie - Kulturhaus Alsleben; Architektur; Autos; Bezirk Halle; Detail - Absperrketten; Detail - Zimmerpflanzen; Fotografie - Innen- und Außenansicht; Kreis Bernburg; Möbel - Buffett; Möbel - Geschirr; Möbel - Lampen; Möbel - Raumtrenner; Möbel - Registrierkasse; Möbel - Stühle; Möbel - Tischdecken; Möbel - Tische; Möbel - Tischvasen; Ort - Alsleben; Ortsansicht; Stadtdetail - Fahnenmasten; Tätigkeit - Kellnern; Tätigkeit - Sitzen; Verkehr - Auto - Trabant; Verkehr - Auto - Transportanhänger; Verkehr - Auto - Wartburg; Verkehr - Bus; Verkehr - Parkplatz,,o.A.,,o.A.,,7,1977,Germany
,Alt  Schwerin,"53.513055555556,12.356666666667",1978,"Agrarhistorisches Museum Alt Schwerin. 1 Einklassendorfschule (erbaut 1878, eingerichtet um 1904); 2 Klassenraum der alten Schule; 3 Polytechnische Teiloberschule Alt-Schwerin (erbaut 1970); 4 Blick in einen Klassenraum der neuen Schule""",,Berlin,Planet-Verlag,A 4/2186/78 IV-14-483 F 2794,1970er; 1978; Bautyp - Altbau; Bezirk Neubrandenburg; Innenraum; Kreis Waren; Kultur - Museum; Kunst am Bau; Ort - Alt Schwerin; Raumtyp - Klassenraum; Schule; Wandbild,-,o.A.,,o.A.,,7,1978,Germany
,Alt Töplitz,"52.43166667,12.90722222",1977,Alt Töplitz . Bezirk Potsdam,Ortsansicht,Potsdam,PGH Fotostudio Potsdam,1/16/18 F 33/77 J,"1970er; 1977; Baudetail - Anbau; Baudetail - Fenster; Baudetail - Kirchturm; Baudetail - Schornstein; Bautyp - Einfamilienhäuser; Bezirk Potsdam; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; Detail - Wäsche - auf Leine; Detail - Zaunpfähle; Fotografie - Ortsansicht; gelaufen - 1977 - 08 - 09; gelaufen 1970er; gelaufen 1977; Kirche; Kirche - Art - Dorfkirche; Kirche - Ort - Alt Töplitz - Dorfkirche; Kreis Potsdam Land; Menschen - keine; nach: Gräfenhainichen; Nachricht - Anrede - Familie; Nachricht - Bootsfahrt; Nachricht - Entfernungsangabe - Ferch, 35 km; Nachricht - Faulenzerei; Nachricht - Ort - Ferch; Nachricht - Pilze sammeln; Nachricht - Urlaubsgrüße; Nachricht - Urlaubsgrüße - aus Alt Töplitz; Name - Doris; Name - Hans; Name - Heike; Name - Marianne; Name - Markus; Natur - Bäume; Natur - Wiese; Ort - Alt Töplitz; Per - Doris Grumbach; Stempel - Tagesstempel - POTSDAM 15 ab; Stempel - Werbestempel - Die Postleitzahl in der Anschrift der Absenderangabe nicht vergessen!; von: Potsdam",,Potsdam,"52.4,13.066666666667",Gräfenhainichen,"51.729166666667,12.455555555556",0,1977,Germany
,Altdöbern,"51.65,14.0333",1967,Altdöbern (Kr. Calau),Bahnhofstraße,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/18/6 A 1/B 988/67 6/1382,1960er; 1967; Aufschrift - CAFE Konsum; Bautyp - Altbauten; Bezirk Cottbus; Detail - Absperrstange; Detail - Schatten; Detail - Zaun; Fotografie - Perspektive; Gastronomie - Art - Café; Konsum; Kreis Calau; Menschen - Personen - 3; Natur - Bäume; Ort - Altdöbern; Ort - Altdöbern - Bahnhofstraße; Straße - Bahnhofstraße - Altdöbern; Stromleitung; Tätigkeit - Fahrrad schieben; ungelaufen,"Darr, [Bild und Heimat]",o.A.,,o.A.,,3,1967,Germany
,Altenberg,"50.764444444444,13.757777777778",195?,SVL Sanatorium Altenberg i. Erzgeb.,,Rabenau,"Johannes Winzer, Rabenau",Reg.-Nr. F III / 9 / 166,1950er; Bezirk Dresden; Briefmarke - Dauermarkenserie: Präsident Wilhelm Pieck - 12 Pf.; Detail - Aschenbecher; Detail - Bild; Detail - Zimmerpflanze; Fotografie - Innenaufnahme; gelaufen - 1957 - 02 - 19; gelaufen 1950er; gelaufen 1957; Gesundheit; Gesundheit - Art - Sanatorium; Gesundheit - Ort - Altenberg - Sanatorium Altenberg; Kreis Dippoldiswalde; Kunst am Bau - Industrie; Kunst am Bau - Sport; Menschen - keine; Möbel - Lampen; Möbel - Sessel; Möbel - Tische; nach: Sömmerda; Nachricht - Bezug zur Bildseite; Nachricht - Grüße - an die Mutter; Nachricht - Umgebung; Nachricht - Umgebung - herrlich; Nachricht - Unterkunft; Nachricht - Unterkunft - erstklassig; Nachricht - Wetter - Schnee; Name - Gisela; Name - Ilse; Ort - Altenberg; Ort - Altenberg - Raupennest; Ort - Altenberg - SVL Sanatorium; Per - Gisela Koch; Per - Ilse Thuma; Stempel - tagesstempel  - (10) ALTENBERG ERZGEBIRGE g; von: Altenberg; Wandbild,"Winzer, Johannes",Altenberg,"51.05,7.1333333333333",Sömmerda,"51.161666666667,11.116944444444",0,,Germany
,Altenberg,"50.764444444444,13.757777777778",1962,Altenberg. Am Galgenteich. Krs. Dippoldiswalde/Erzg.,,Dresden,"Foto-Hanich,  8017 Dresden","J 45/61 FIII/9/62 III/9/20 Best,-Nr. 1342","1960er; 1962; Bezirk Dresden; Freibad; Freibad - Ort - Altenberg - Stadtbad ""Kleiner Galgenteich""; Jahreszeit - Sommer; Kleidung - Badeanzug; Kleidung - Badehose; Kleidung - Badekappe; Kreis Dippoldiswalde; Natur - Baum; Natur - Gras; Natur - Ufer; Ort - Altenberg; Ort - Altenberg - Stadtbad ""Kleiner Galgenteich""; Schild - Springen auf eigene Gefahr; Sportanlage - Sprungturm; Tätigkeit - Blick zur Kamera; Tätigkeit - Lächeln; Tätigkeit - Schwimmen; Tätigkeit - Sitzen; Tätigkeit - Springen; Tätigkeit - Warten; Tätigkeit - Zuschauen; ungelaufen",,o.A.,,o.A.,,0,1962,Germany
,Altenberg,"50.764444444444,13.757777777778",1969,Bergstadt Altenberg/Erzgebirge,"Stadtbad ""Kleiner Galgenteich""",Altenberg (Erzgebirge),"FOTO BESSLER, Altenberg/Erzgebirge",F III/7/15 J 34/69 III/71/1,"1960er; 1969; Bezirk Dresden; Freibad; Freibad - Ort - Altenberg - Stadtbad ""Kleiner Galgenteich""; Himmel - Wölkchen; Jahreszeit - Sommer; Kleidung - Badeanzug; Kleidung - Badehose; Kleidung - Badekleidung; Kleidung - Bikini; Kreis Dippoldiswalde; Natur - Bäume; Ort - Altenberg; Ort - Altenberg - Stadtbad ""Kleiner Galgenteich""; Spielgerät - Rutsche; Sportgerät - Sprungbrett; Sportgerät - Sprungturm; Tätigkeit - Anlauf nehmen; Tätigkeit - Baden; Tätigkeit - Lächeln; Tätigkeit - Schwimmen; Tätigkeit - Sitzen; Tätigkeit - Sitzen - am Schwimmbeckenrand; Tätigkeit - Sonnen; Tätigkeit - Umsehen; ungelaufen; Wasser",Foto Bessler Altenberg,o.A.,,o.A.,,0,1969,Germany
,Altenburg,"50.985,12.433333333333",1965,Altenburg,Insel-Zoo,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/18/6 A 1/B 442/65 13/2878,"1960er; 1965; Baudetail - Brücke; Baudetail - Brüstung; Baudetail - Pfeiler; Bezirk Leipzig; Briefmarke - 1961 - Dauermarkenserie: Staatsratsvorsitzender Walter Ulbricht, 10 Pf. (grün) (Ersttag 29.08.1961); gelaufen 1960er; gelaufen 1966; Ins - Zeit im Bild; Kreis Altenburg; Menschen - 2; nach: Dresden; Nachricht - Gewinnspiel; Name - Karin; Natur - Bäume; Ort - Altenburg; Ort - Altenburg - Insel-Zoo; Per - Karin Thiere; Schild - INSEL-ZOO; Stempel - Tagesstempel - Altenburg; Tiere - Gänse; von: Altenburg; Wasser; Zoo - Ort - Altenburg - Insel-Zoo",Kühn (Leipzig),Altenburg,"50.985,12.433333333333",Dresden,"51.0493286,13.7381437",2,1965,Germany
,Altenburg,"50.985,12.433333333333",1973,Altenburg // Volksschwimmhalle,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/98 A 1/B 245/73 01 13 01 202,"1970er; 1973; Architekt - Klaus Schunk; Architekt - Rudolf Lossner; Architekt - Werner Heidrich; Architekt - Wolfgang Aßmann; Baudetail - Treppe; Bezirk Leipzig; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; Fotografie - Laub - von oben; gelaufen 1973; Kreis Altenburg; Menschen - 7; nach: Zella-Mehlis; Nachricht - An die Eltern; Nachricht - Ankunft; Nachricht - Besorgung; Nachricht - Besorgung - Schreibwaren; Name - Ruth; Name - Theo; Natur - Baum - frischgepflanzt; Natur - Bäume; Ort - Altenburg; Ort - Altenburg - Volksschwimmhalle; Parkanlagen; Per - Theo Messerschmidt; Schwimmhalle; Schwimmhalle - Volksschwimmhalle - Altenburg; Stadtdetail - Grünanlagen; Stempel - Tagesstempel - Altenburg; Tätigkeit - Blick zur Kamera; von: Altenburg",Kühn (Leipzig),Altenburg,"50.985,12.433333333333",Zella-Mehlis,"50.659722222222,10.666944444444",7,1973,Germany
,Altenburg,"50.985,12.433333333333",1975,"NEUBAUTEN ""LERCHENBERG"" // ALTENBURG",,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/18/98 A 1/B 459/75 C1 13 01 041,1970er; 1975; Baudetail - Balkone; Bautyp - Neubaublöcke; Bezirk Leipzig; DDR - BRD; gelaufen 1970er; Kreis Altenburg; Menschen - Kinder; nach: Amberg; Nachricht - Besuch; Nachricht - Dank für Päckchen; Name - Billa; Name - Fritz; Name - Hildegard; Name - Rosl; Name - Schorschl; Ort - Altenburg; Ort - Altenburg-Lerchenberg; Ort - Altenburg-Lerchenberg - Schule; Per - Billa Grodl; Pioniere; Pioniere - Jungpioniere; Schule; Stadtdetail - Laternen; Stadtgestaltung - Neubaugebiet; von: Altenberg,,Altenberg,"51.05,7.1333333333333",Amberg,"49.444444444444,11.848333333333",7,1975,Germany
,Altenburg,"50.985,12.433333333333",1976,Altenburg // Volksschwimmhalle,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),III/18/197 A 1/B 402/76 01 13 01 201,"1970er; 1976; Architekt - Klaus Schunk; Architekt - Rudolf Lossner; Architekt - Werner Heidrich; Architekt - Wolfgang Aßmann; Architektur - Stil - Ostmoderne; Architektur - Stil - Typenbauweise; Baudetail - Treppe; Bautyp - WV-Projekt; Bezirk Leipzig; Briefmarke - Aufbau in der DDR - Großformat - Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin; Detail - Laub; gelaufen 1977; Kreis Altenburg; Menschen - Personen - 1; nach: Oberbärenburg; Nachricht - An die Eltern; Nachricht - Dank für Ansichtskarte; Nachricht - Frauentag; Nachricht - Urlaubswünsche; Name - Bernhard; Name - Heinz; Name - Karin; Name - Kathrin; Name - Matthias; Natur - Bäume; Natur - Stadtnatur - Grünanlage; Ort - Altenburg; Ort - Altenburg - Volksschwimmhalle; Parkanlage; Per - Bernhard König; Schwimmhalle; Schwimmhalle - Volksschwimmhalle - Altenburg; Stadtdetail - Laternen; Stadtmöbel - Sitzbänke; Stempel - Sonderstempel - SKATSTADT; Stempel - Tagesstempel - Altenburg 74 k; Tätigkeit - Sitzen; von: Altenburg",Kühn (Leipzig),Altenburg,"50.985,12.433333333333",Oberbärenburg,"50.7944,13.712",1,1976,Germany
,Altenburg,"50.985,12.433333333333",1977,Altenburg. Markt,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/18/197 A 1/B 55/77 01 13 01 050,"1970er; 1977; Archigrafie - Apotheke; Autos; Bautyp - Altbauten; Bezirk Leipzig; Briefmarke - 1977 - Persönlichkeiten der deutschen Arbeiterbewegung (VII), Bernard Koenen (1977); Detail - Antennen; gelaufen - 1979 - 11 - 22:; gelaufen 1979; Gesundheit - Art - Apotheke; Handel; Kirche; Kreis Altenburg; Menschen - Passanten; nach: Münchenbernsdorf; Nachricht - Alltagsorganisation; Nachricht - An Oma und Opa; Nachricht - Arbeit; Name - Fritz; Name - Ilona; Name - Jenny; Name - Wolfgang; Ort - Altenburg; Ort - Altenburg - Markt; Per - Fritz Beirich; Stadtdetail - Laternen; Stadtgestaltung - Innenstadt; Stadtgestaltung - Kopfsteinpflaster; Stempel - Tagesstempel - Altenburg 74; Verkehr - Auto - Trabant; Verkehr - Parkplatz; Verkehrszeichen; Verkehrszeichen - Parkverbot; von: Altenburg",Kühn (Leipzig),Altenburg,"50.985,12.433333333333",Münchenbernsdorf,"50.8206082,11.9330185",1,1977,Germany
,Altenburg,"50.985,12.433333333333",1978,Altenburg. Neubaugebiet Südost,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 523/78 01 13 01 255,1970; 1978; Bautyp - Neubaublöcke; Bezirk Leipzig; Detail - Antennen; Detail - Zaun - Jägerzaun; Kreis Altenburg; Menschen - Personen - 1; Natur - Bäume; Ort - Altenburg; Ort - Altenburg - Neubaugebiet Südost; Ortsansicht; Stadtdetail - Laternen; Stadtgestaltung - Neubaugebiet; Stadtgestaltung - Wäscheplatz,Kühn (Leipzig),o.A.,,o.A.,,1,1978,Germany
,Altenburg,"50.985,12.433333333333",1981,Altenburg. Neubaugebiet Südost,,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),A 1/B 235/81 IV-14-483 01 13 01 261,1980er; 1981; Architektur; Bautyp - Neubaublöcke; Bezirk Leipzig; Briefmarke - 1981 - Persönlichkeiten der deutschen Arbeiterbewegung (IX) 1981 - Arthur Ewert (1890–1959); Einzelhandel - Art - Kaufhalle; Kreis Altenburg; Menschen - Passanten; nach: Münchenbernsdorf; Nachricht - Absage; Nachricht - Alltagsorganisation; Nachricht - Dank; Nachricht - Dank für Brief; Name - Fritz; Name - Wolfgang; Natur - Baum - frischgepflanzt; Natur - Bäume; Ort - Altenburg; Ort - Altenburg - Neubaugebiet Südost; Per - Fritz Beirich; Schule; Spielplatz; Stadtdetail - Laternen; Stadtgestaltung - Neubaugebiet; Stadtmöbel - Sitzbänke; Verkehr - Parkplatz; von: Altenburg; Wasserturm,,Altenburg,"50.985,12.433333333333",Münchenbernsdorf,"50.8206082,11.9330185",1,1981,Germany
,Sebnitz,"50.966666666667,14.283333333333",1974,Altendorf,Heiterer Blick,Lohsdorf,"Fotomeister HANS FRITZEL, 8361 Lohsdorf, Kr. Sebnitz  III/25/26",J 72/74,1970er; 1974; Archigrafie - Gasthaus; Archigrafie - Gasthaus Heiterer Blick; Architektur - Stil - Altbauten; Aufschrift - Vorsicht Stufe; Baudetail - Fenster; Baudetail - Geländer; Baudetail - Glastür; Baudetail - Schaufenster; Baudetail - Terrasse; Bezirk - Dresden; Detail - Stein - als Wegrollbremse; Detail - Tischdecke - Wachstuch; Detail - Würste; Detail - Zimmerpflanzen; Gastronomie - Art - Außengastronomie; Gastronomie - Art - Gasthaus; Gastronomie - Ort - Altendorf - Gasthaus Heiterer Blick Altendorf; Kreis Sebnitz; Menschen - 6; Möbel - Gartenmöbel; Natur - Baum - Kastanie; Ort - Altendorf; Ort - Altendorf - Gasthaus Heiterer Blick; Schild - Radeberger; Stadtdetail - Strommast - Holz; Stadtnatur - Bäume; Stadtnatur - Sträucher; Tätigkeit - Gaststättenbesuch; Tätigkeit - Hand als Sonnenschutz; Tätigkeit - Schauen; Tätigkeit - Sitzen; ungelaufen; ungelaufen - beschrieben; Verkehr - Autor - Trabant,"Fritzel, Hans",o.A.,,o.A.,,6,1974,Germany
